,product_name,prodcut_link,current_prices,old_prices,percent_discounts
42,Mac mini M2 2023 (8 CPU - 10 GPU - 8GB - 256GB) | Chính hãng Apple Việt Nam,https://cellphones.com.vn/mac-mini-m2-2023.html,28.490.000₫,22.990.000₫,Giảm 8%
43,Laptop Acer Aspire 7 A715-76G-5806,https://cellphones.com.vn/laptop-acer-aspire-7-a715-76g-5806.html,14.790.000₫,11.490.000₫,Giảm 18%
44,Laptop Dell Inspiron 15 3520 D5N53,https://cellphones.com.vn/laptop-dell-inspiron-15-3520-d5n53.html,18.790.000₫,14.990.000₫,Giảm 13%
45,Laptop Dell Inspirion 15 3511 PDP3H,https://cellphones.com.vn/laptop-dell-inspiron-15-3511-pdp3h.html,9.990.000₫,65.990.000₫,Giảm 10%
46,MacBook Pro 16 inch M2 Pro 2023 (12 CPU - 19 GPU - 16GB - 512GB),https://cellphones.com.vn/macbook-pro-16-inch-m2-pro-2023.html,13.490.000₫,22.990.000₫,Giảm 24%
47,Laptop Asus VivoBook 14X OLED S3405VA-KM072W,https://cellphones.com.vn/laptop-asus-vivobook-14x-oled-s3405va-km072w.html,49.990.000₫,16.990.000₫,Giảm 17%
48,Laptop Acer Gaming Aspire 7 A715-76-53PJ,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-76-53pj.html,18.990.000₫,37.990.000₫,Giảm 9%
49,MacBook Air 15 inch M2 2023 16GB 256GB | Chính hãng Apple Việt Nam,https://cellphones.com.vn/macbook-air-15-inch-m2-2023-16gb-256gb.html,15.490.000₫,13.990.000₫,Giảm 5%
50,Laptop Dell Vostro 3520 GD02R,https://cellphones.com.vn/laptop-dell-vostro-3520-gd02r.html,35.990.000₫,32.990.000₫,Giảm 4%
51,Laptop Asus TUF Gaming A16 Advantage Edition FA617NS-N3486W,https://cellphones.com.vn/laptop-asus-tuf-gaming-a16-advantage-edition-fa617ns-n3486w.html,13.490.000₫,16.990.000₫,Giảm 32%
52,Laptop Lenovo Ideapad Flex 5 14ALC7 82R900ECVN,https://cellphones.com.vn/laptop-lenovo-ideapad-flex-5-14alc7-82r900ecvn.html,22.390.000₫,14.490.000₫,Giảm 9%
